190
33307,test_Hewlett Packard 401K_Tactical Asset Allocation12,2011-08-10 00:00:00,fail,2011-09-13 18:11:23,2011-09-13 18:11:25,1.4secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33306,test_Hewlett Packard 401K_Tactical Asset Allocation10,2011-08-10 00:00:00,fail,2011-09-13 18:11:25,2011-09-13 18:11:26,0.987secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33305,test_Hewlett Packard 401K_Tactical Asset Allocation11,2011-08-10 00:00:00,fail,2011-09-13 18:11:26,2011-09-13 18:11:26,0.769secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33304,Admin_Hewlett Packard 401K Strategic Asset Allocation Moderate7,2011-08-10 00:00:00,fail,2011-09-13 18:11:26,2011-09-13 18:11:27,0.493secs,"Cannot get the parameter of name: AssetFundString, type:String[], value:{}
	com.lti.util.simulator.ParameterUtil.fetchParameter(ParameterUtil.java:260)
	com.lti.compiledstrategy.Strategic_Asset_Allocation771.fetchParameters(Strategic_Asset_Allocation771.java:268)
	com.lti.executor.Simulator.init(Simulator.java:369)
	com.lti.executor.Simulator.simulate(Simulator.java:901)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33303,test_MyPlanIQ Diversified Core Allocation ETF Plan_Tactical Asset Allocation8,2011-05-06 00:00:00,fail,2011-09-13 18:11:27,2011-09-13 18:11:28,0.852secs,success.
33301,test_MyPlanIQ Diversified Core Allocation ETF Plan_Tactical Asset Allocation2,2011-05-06 00:00:00,fail,2011-09-13 18:11:28,2011-09-13 18:11:28,0.7secs,success.
33299,test_Hewlett Packard 401K_Tactical Asset Allocation7,2011-08-10 00:00:00,fail,2011-09-13 18:11:28,2011-09-13 18:11:29,0.746secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33288,test2 Admin_Hewlett Packard 401K Strategic Asset Allocation Moderate,2011-07-18 00:00:00,fail,2011-09-13 18:11:29,2011-09-13 18:11:31,1.864secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33287,test1 Admin_Hewlett Packard 401K Strategic Asset Allocation Moderate,2011-07-18 00:00:00,fail,2011-09-13 18:11:31,2011-09-13 18:11:32,1.017secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33285,Admin_Hewlett Packard 401K Strategic Asset Allocation Moderate6,2011-07-18 00:00:00,fail,2011-09-13 18:11:32,2011-09-13 18:11:37,5.02secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33284,Admin_test 0624 Admin_Schwab ETF Select List Strategic Asset Allocation Moderate,2011-05-06 00:00:00,fail,2011-09-13 18:11:37,2011-09-13 18:11:39,1.493secs,success.
33283,Admin_Hewlett Packard 401K Strategic Asset Allocation Moderate4,2011-07-18 00:00:00,fail,2011-09-13 18:11:39,2011-09-13 18:11:39,0.819secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33282,test 0624 Admin_Schwab ETF Select List Strategic Asset Allocation Moderate,2011-07-01 00:00:00,fail,2011-09-13 18:11:39,2011-09-13 18:11:40,0.537secs,"Exception : No price exception!
Security ID : 890
Security Name : CASH
Date : 2011-07-01 00:00:00.0
	com.lti.cache.YearCache.getValue(YearCache.java:123)
	com.lti.cache.YearCache.getOpen(YearCache.java:69)
	com.lti.service.impl.SecurityManagerImplWithYearCache.getOpenPrice(SecurityManagerImplWithYearCache.java:78)
	com.lti.executor.Simulator.refreshprice(Simulator.java:336)
	com.lti.executor.Simulator.simulate(Simulator.java:930)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33280,test 4 Admin_Vanguard ETFs Strategic Asset Allocation Moderate,2011-06-09 00:00:00,fail,2011-09-13 18:11:40,2011-09-13 18:11:44,3.682secs,"Index: 6,Size: 6
	java.util.SubList.rangeCheck(Unknown Source)
	java.util.SubList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33278,Admin_Admin_Vanguard ETFs Strategic Asset Allocation Moderate,2011-06-09 00:00:00,fail,2011-09-13 18:11:44,2011-09-13 18:11:45,1.342secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33276,Admin_Vanguard ETFs Strategic Asset Allocation Moderate,2011-09-01 00:00:00,fail,2011-09-13 18:11:45,2011-09-13 18:11:45,0.439secs,"Exception : No price exception!
Security ID : 890
Security Name : CASH
Date : 2011-09-01 00:00:00.0
	com.lti.cache.YearCache.getValue(YearCache.java:123)
	com.lti.cache.YearCache.getOpen(YearCache.java:69)
	com.lti.service.impl.SecurityManagerImplWithYearCache.getOpenPrice(SecurityManagerImplWithYearCache.java:78)
	com.lti.executor.Simulator.refreshprice(Simulator.java:336)
	com.lti.executor.Simulator.simulate(Simulator.java:930)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
